etype,issuenote
7,"Congolese police fired live rounds at the car of opposition leader Etienne Tshisekedi and fired tear gas at his gathered supporters.  Tshisekedi, who had proclaimed himself President-elect, was driving to the Presidential Palace to take office when he was stopped."
7,"Police raided the home of parliamentarian Dieudonne Bakungu, who was suspected of running a militia.  4 people were killed in the raid."
1,"Members of the opposition party Union for Democracy and Social Progress (UDPS) staged a sit in protest, though were blocked from the Francophone Summit by heavy police presence.  The demonstration also accused President Kabila of rigging the vote and called for him to step down."
1,Thousands of people danced as part of a worldwide demonstration to end violence against women and girls
7,Police fired tear gas to prevent supporters of opposition figure Etienne Tshisekedi from holding a rally
7,12 activists were arrested a day before they were planning to hold a rally
7,"Army helicopters attcked M23 rebel positions, who fired morters back at them, with several people killed"
7,"Army helicopters attcked M23 rebel positions, who fired morters back at them, with several people killed"
7,"Army helicopters attcked M23 rebel positions, who fired morters back at them, with several people killed"
7,"Army helicopters attcked M23 rebel positions, who fired morters back at them, with several people killed"
7,South African snipers killed 6 M23 rebels
3,"Bakata Katanga attacked a munitions depot, and three rebels and 3 soldiers were killed"
7,Army troops attacked some 200 M23 rebels
3,UN helicopter gunships attacked an ADF-Nalu rebel base.
3,DRC military forces dislodge the APCLS militia from Lukweti village.
1,Thousands demonstrate in Kinshasa over fears of government plans to amend the constitution.
1,Citizens protest and riot against higher poll taxes
1,Youths demonstrate against dissolution of Bugandan king's parliament and cabinet
7,Police violently disperse seminar on democracy
7,"Police violently disperse opposition meeting, arresting several"
7,Police violently disperse political opposition meeting
7,Soldiers beat and arrest oposition member of Parliament
7,"Security forces fire on opposition supporters, killing four"
7,Police fire on UPC supporters attempting to hold a political rally
1,Environmentalists protest plans to begin exporting oil
3,Sudanese refugees protest treatment and government's decision to relocate them
7,"Police force 16,000 Sudanese from the refugee camp.  When refugees resist, police fire rubber bullets and tear gas into crowd"
1,"MPs boycott Parliament, protesting insurgency in their districts"
7,"Soldiers mistake citizens for rebels, killing one.  Citizens retaliate and attack soldiers, resulting in the death of 3 more civilians"
7,Police violently disperse opposition celebration of candidate's release
7,"Soldiers open fire on opposition rallies, killing 3"
7,Police violently disperse political opposition meeting
1,Opposition group protests decision to renew country's electoral commission
1,"Ethnic Baganda MPs walk out of parliament, protesting government attitude toward traditional ruler"
1,Protesters gather in response to a call by Activists for Change to show support for recent opposition protests about high food and fuel prices.
1,"Besigye was detained as he attempted to launch a demonstration with supporters over rising living costs, police fired tear gas."
1,"Opposition activists held demonstration against rising prices, threw stones after security forces attempted to drag Besigye into a van."
7,"Ugandan forces attacked rebel unit, rescued woman in custody who just gave birth."
1,"Opposition supporters held demonstration, Besigye wounded when teargas canister exploded next to him."
1,Citizens demonstrated in support of gay rights and to protest gender-based violence and anti-gay bill attributed to U.S. pastor.
3,"Opposition supporters demonstrating against police brutality engaged in violent clashes with police, policeman killed after being hit by rock."
7,Two journalists were beat up outside of police stations in separate incidents in the wake of opposition demonstrations.
7,"Female activist was sexually assaulted by police officer, including the squeezing of her breast, after allegedly committing traffic violations."
1,Demonstrators protested in remote villages against misrule of President Museveni to escape heavy police response in capital.
1,Demonstrators protested in remote villages against misrule of President Museveni to escape heavy police response in capital.
7,Police arrests opposition leaders ahead of protests
1,"Two young, unemployed men infiltrate parliament to protest corruption"
1,Jobless youths protest unemployment and government corruption.
1,"Pro-democracy advocates defy ban on protest, riots erupt.  Protest spreads from Nairobi to many towns"
1,"Pro-democracy advocates defy ban on protest, riots erupt.  Protest spreads from Nairobi to many towns"
7,Government cracks down on pro-democracy groups
1,Roman Catholic groups protest pollution caused by chemical plant
7,Police violently break up crowds planning on holding a pro-democracy rally
1,Opposition party holds rally
1,"Women hold hunger strike to demand release of political prisoners, riots erupt as unemployed youth attack police"
1,Women hold hunger strike in solidarity with Nairobi hunger strikes
3,Opposition party supporters disrupt rally by ruling party
1,Police break up a banned opposition rally
1,Student members of Islamic Party protest at university over political prisoners and right to register as a party
7,Ruling party bars many candidates from registering to vote. Violence breaks out across country.
7,KANU supporters attack opposition party leaders
3,"Islamic party riot over banning, political prisoners"
3,Rival parties clash
1,Opposition party holds a rally.  KANU supporters and police launch large-scale anti-opposition attacks.
3,Mob supporting the IPK tries to stop bus carrying voters to polls.
3,Islamic party riots to protest banning of group
1,"Islamic party holds protest, turns violent"
3,Rival parties clash during local election
3,Rival parties clash during local election
7,Police evict refugees who had been staying at a sports complex
1,Priests organize a demonstration after their newsletter is banned
7,Unidentified gunmen attack offices of a human rights group
7,Riot police beat up two opposition leaders to prevent them from speaking at a rally
3,Election violence between rival parties
7,Police and KANU supporters beat journalists and opposition leaders
3,Election violence between rival parties
7,Police beat opposition legislators
7,Police beat opposition members in several cities
7,Police beat opposition members in several cities
7,Police beat opposition members in several cities
1,Police break up a pro-democracy rally
7,Police beat photo journalists
1,"Opposition rally broken up by police Saturday, rioting follows"
1,Opposition groups hold rallies across country to press for democratic reforms
7,"Opposition candidate attacked by thugs, thought to be political"
3,Rival parties clash outside of parliament
1,Reformist groups chant anti-Moi slogans
1,KANU supporters demonstrate in favor of government
7,Police arrest opposition leaders and fire tear gas to prevent a possible rally
1,Police break up an opposition rally
3,KANU party nominations turn violent
3,KANU party nominations turn violent
3,KANU party nominations turn violent
7,Police fire teargas to prevent presidential candidate from speaking.  Riots erupt
3,Violence erupts in several towns before and during elections
3,Riots erupt after an opposition leader holds a prayer meeting
1,Group protests government violence
3,Students protests ethnic killings in Kenya
7,Police beat opposition members at rally
1,"Ruling party holds rally, opposition members throw a grenade into crowd.  Grenade thrower's genitals are cut off as he is killed"
1,Muslims protest banning of five Islamic NGOs after embassy bombing
1,Muslims protest banning of five Islamic NGOs after embassy bombing
1,Muslims protest banning of five Islamic NGOs after embassy bombing
1,Muslims protest banning of five Islamic NGOs after embassy bombing
1,Environmental protesters against development near Nairobi
1,Opposition MPs protest outcome of elections
1,Students protest plans to develop Karura forest
7,Police attack opposition members at a tree-planting ceremony
3,Supporters of rival politicians clash
1,Church leaders organize a rally to press for a constitutional review
1,Opposition parties demand constitutional reforms
7,"Police raid a mosque, killing 5.  One officer killed."
7,Police break up an opposition rally
7,Police break up an opposition rally
3,KANU youth attack a campaign rally
1,Refugees from Zanzibar hold hunger strike to protest against government's plan to relocate them
1,Mungiki religious group protest against police brutality
7,Police prevent opposition groups from holding a rally
3,KANU supporters attack rivals ahead of a local election
1,"Kenyan Muslims protest Israeli treatment of Palestinians, then march to President Moi's office to protest discrimination against Arabs/Somalis"
1,Kenyan muslims protest bombing of Afghanistan
7,Police arrest people trying to organize a labor rally
3,Kenyan citizens storm a refugee camp to protest against job discrimination.  They claim that refugees are hired rather than locals.
1,"Mungiki stage a demonstration to attack opposition party members, support president Moi"
7,Pro-government thugs kill two people leaving an opposition rally
1,"Opposition groups protest outside of a campaign stop, police fire on demonstrators"
3,Rival political parties clash ahead of campaign
3,Mungiki attack rival minibus drivers for control of bus routes
3,Mungiki attack rival minibus drivers for control of bus routes
1,Kenyan Muslims protest the Iraq War
1,Muslim groups demonstrate in order to maintain Islamic courts system
1,Muslim groups demonstrate in order to maintain Islamic courts system
3,Landlords in a Nairobi slum pay thugs to forcefully evict tenants who had not paid rent
3,Mungiki sect members protest and riot in effort to have group legalized
1,Opposition demonstrators demand progress on constitutional reforms
1,protesters demand constitutional reforms
1,Masai stage protests in Laikipia and Nairobi over access to lands
1,Masai stage protests in Laikipia and Nairobi over access to lands
1,Anti-globalization protesters at a WTO meeting in Ukunda on the coast
1,NGOs protest to demand the G8 does more to end poverty in Africa
1,Kenyan traders close shops and stage protests over new regulations and taxes
1,Environmental activists call on wealthy countries to curb climate change
7,Police break up an attempt to hold an opposition rally
7,Police raid a Nairobi slum to attack members of the Mungiki sect
1,"Muslim activists hold a demonstration to press government to stop sending terror suspects abroad, fearing torture"
7,Police raid Mungiki hideouts
3,Rival parties clash ahead of polls
7,Pro-Kibaki supporters attempt to block an opposition rally
3,Violence breaks out across the country as polls open for parliamentary primaries
7,Government launches assault on group suspected of killings
7,Government launches assault on group suspected of killings
1,"Community groups protest rising food prices, demand government assistance"
1,Electoral commission employees go on hunger strike to protest government moves to disband the body
1,Kenyan women abstain from sex for a week to protest rift between President and Prime Minister
7,"Kenyan police ambush members of the Mungiki sect, killing one."
7,Military officers rounded up and brutally beat locals who walked too close to a military camp.
3,"The Gabra and Borena clans clashed in northern Kenya, displacing tens of thousands of locals. Tensions over water and pasture land drove already tense relations to a head."
1,Members of a separatist political faction protested outside a court house to challenge a legal ban on their organization. One protestor was killed by a thrown rock.
3,"Masked gunmen attacked two churches, killing 17 and wounding many more with indiscriminate fire and grenade tosses."
1,"After the Pokomo farming community protested the pastoralist Orma grazing cattle on their farms, the Orma responded with violence. The next week Pokomo villagers raided an Orma village, killing dozens."
7,"Police raided the home of a (legally sanctioned) separatist group leader, killing two and arresting dozens. Later a local man was stabbed to death, suspected of having tipped off the police."
7,A police raid turned deadly when suspected Islamists threw a grenade at the police. One policeman and two suspects were killed.
3,"Members of the semi-nomadic Turkana tribe raided a Samburu village, killing twelve and stealing livestock."
3,"Cattle rustlers ambushed police forces tracking them, killing dozens."
3,Another three soldiers were killed in a grenade attack. Riots broke out in response and police were unable to quell them before one person was killed and many were wounded.
7,"Based on a tip that MRC members were plotting a raid on police stations, security forces raided them first, killing several in the ensuing firefight."
3,"The Pokomo raided an Orma village, hacking women and children to death and setting fire to houses. This was apparently due to arguments over food and water."
1,Hundreds of demonstrators angered at the conduct of outgoing Kenyan legislators doused 221 coffins with gasoline and set them on fire in an organized protest outside parliament
7,Police threw tear gas on crowds supporting  prime minister Odinga as he filed a petition asking the Supreme Court to void the presidential election
3,40 patients overpowered guards and forced open the door of their ward in the Mathari Mental Hospital
1, domonstration to protest parliament's greedy salary demands
1, and spilled cow blood outside parliament to protest political leaders' attempts to raise their salaries
7,Police shot and killed two suspected al-Shabab militants in their homes
1,About 300 women marched to protest the fact that individuals that raped a 16-year-old girl were not imprisoned for their actions
1,300 journalists and civil rights activists marched to protest an attempt by lawmakers to stifle criticism by pressuring journalists with fines
7,Police stormed the Masjid Musa mosque based on intelligence that a meeting recruiting fighters was going on at the time.
1,Kenya's National Gay and Lesbian Human Rights Commission protested an anti-homosexuality bill in Uganda.
7,Police killed two suspects of an attack on an evangelical church on March 23 in a gunfight in Mombasa.
7,Little Mogadishu. 91 Somali citizens were deported.
7,"Security forces killed 5 suspects of an attack on Mpeketoni and neighboring villages, other suspects escaped."
1,"The main opposition party protested the president on the grounds of growing insecurity, corruption, and rising cost of living"
7,"Kenyan soldiers killed 5 Islamic extremists near a border with Ethiopia, who were trying to enter Kenya in a car full of explosives and suicide vests."
7,"Security forces attacked two mosques in Mombasa based on allegations of a planned attack. 1 man was shot as he attempted to throw a grenade at the police, over 200 people were arrested, ammunition, and grenades were seized."
7,"Security forces attacked two mosques in Mombasa, arresting over 100 people and seizing grenades and ammunition."
7,"Tanzanian police use tear gas, guns and beatigs to force Rwandan refugees out of Tanzania"
7,"Tanzanian police forcefully expel Burundian refugees, beating and stealing from them"
1,Seventeen members of CUF go on hunger strike to protest unsatisfactory handling of their case
1,"Former Rwandan mayor leads hunger strike, protesting legal proceedings of ICTR"
1,"Suspect in U.S. Embassy bombing goes on hunger strike, protesting repeated postponements of trial"
1,"U.S. Embassy bombing suspects boycott trial, protesting prosecution delays"
3,CUF supporters attack police who refused them entry into treason trial of CUF leaders
7,"Police storm CUF member houses, leading to violence"
1,"CUF legislators boycott Parliament, protesting elections.  Government retracts seats and redistributes them"
1,"CUF legislators boycott Parliament, protesting undemocratic elections"
7,Police beat and arrest Muslims alleged to be CUF supporters during prayers
1,"Police violently disperse political rallies, killing 16 and arresting over 400"
1,CUF supporters protest police violence and undemocratic elections
3,CUF supporters fleeing violence resist arrest by throwing stones at police
1,CUF supporters attacked by ruling party supporters during fundraiser to help victims of political violence
7,Police violently disperse Muslim gathering; Muslims fight back against police and damage property
3,"CUF and CCM supporters clash; riot police intervene, killing 1"
3,"CUF and CCM supporters clash, injuring 25 and destroying property"
7,Police raid public recreation centre to beat and arrest opposition supporters watching televised speech
1,CUF and CCM supporters clash outside presidential candidate's home
3,Over 65 people were seriously injured during multiple clashes between opposing party supporters
7,Police fire into crowd at CUF rally
3,"In two separate incidents, CCM supporters attack small numbers of CUF supporters, including one legislator"
7,Police violently disperse multiple celebrations by CUF supporters
1,"Opposition legislators boycott Parliament, citing undemocratic elections"
1,"The arrest of an opposition party leader during an anti-corruption rally sparks further protests.  The police open fire, killing 2."
1,Tens of thousands of Chadema supporters protest the government killing of a protester.
1,Opposition party protests to demand the release of jailed leaders.
3,"Demonstrators calling for independence of Zanzibar threw stones, police responded with water cannons and tear gas."
1,Uamsho supporters clashed with police after marching on police station after the arrest of one of their leaders.
1,Woman killed when police opened fire on demonstrators from opposition party Chadema.
3,"Demonstrators, angry over rumor of 12-yr old Christian boy urinating on Koran, marched through city and attacked several churches. Ponda later arrested for sparking demonstrations. Date not explicitly stated, estimated here."
1,Opposition supporters demonstrate against the arrival of the United Nations.
1,Students protest demanding a return to tribal monarchy and police.  Businesses closed down in response to the demonstrations.
1,Supporters of Tutsi led main opposition party rally to demand resignation of the parliamentary speaker whom they accuse of inciting ethnic violence.
1,Civilians peacefully protest the arrival of Rwandan Hutu refugees blamed for the Rwandan genocide.
1,Unity for National Progress organized demonstration against international intervention in the ongoing ethnic conflict.
1,Protesters demonstrate against the central government's request for international assistance and demand an end to the coalition government.
1,Tutsi extremist parties organize a rally against peace talks claiming Hutu rebels should be tried for genocide not allowed into the government through power sharing agreements.
1,Radical Tutsi's demonstrate against the Arusha peace accord.
1,Moped taxi drivers protest a ban on their profession.
3,"Members of the Forceful Self-Defence-Amasekanya protest the presence of South Africa Deputy President Zuma, claiming he is protecting perpetrators of genocide."
7,President Nkurunziza is accused of attempting to assassinate opposition politicians critical of his policies.
1,Citizens protest alleged election fraud and clash with police.
7,An alleged policeman kills an opposition leader with a grenade.
7,Soldiers ambush former rebels in continuing violence.
7,"Police kill several people, including members of the opposition FLN in a wave of alleged extra-judicial killings."
7,"Police kill several people, including members of the opposition FLN in a wave of alleged extra-judicial killings."
7,"Police kill several people, including members of the opposition FLN in a wave of alleged extra-judicial killings."
1,Activists stage a demonstration to demand justice for an assassinated anti-corruption activist.  The police block the protest and make several arrests.
1,About 100 journalists march to protest the jailing of a colleague.
3,"A gang attacked a government office, killing two police officers."
1,"The Collective Against the High Cost of Living asked Burundians not to buy beer or any other product from Brarudi, thelargely government owned company.  The company raised its prices to pass taxes along to its consumers"
3,"A newly formed faction of FNL, Burundi's last active rebel group, fired rockets at a military base.  They were quickly driven off."
3,"Gunmen from the new Murundi People's front entered the town of Buganda, then Murwi, clashing with security forces.  9 of the gunmen were reported dead, but the Murundi People's Front claimed the government report was false and that 17 soldiers were wounded with rebels suffering minimal losses."
3,"Gunmen from the new Murundi People's front entered the town of Buganda, then Murwi, clashing with security forces.  9 of the gunmen were reported dead, but the Murundi People's Front claimed the government report was false and that 17 soldiers were wounded with rebels suffering minimal losses."
1,group jog to the center of the capital where they were dispersed by riot police. After taking refuge in the parties building 2 police were taken hostage before police stormed the building.
1,Hundreds of opposition protesters try to enter the Uprona headquarters before briefly demonstrating in the surrounding streets.
7,Burundian Security Forces clash with around 200 members of an unidentified armed group who crossed the border from the DRC leaving at least 105 dead.
1,"Opposition parties organize mass demonstration against state monopolized media, intimidation of opposition and corruption."
1,Youth wing of the National Republican Movement for Democracy and Development protest against opposition incitements to violence.  Demonstration turned violent when opposition supporters attacked demonstrators.
1,Taxi drivers protest over the killing of a colleague by other taxi drivers belonging to the Hutu majority.
7,Soldiers riot over the possibility of losing their jobs during demobilization at the end of the war.
7,Soldiers riot over the possibility of losing their jobs during demobilization at the end of the war.
7,Soldiers riot over the possibility of losing their jobs during demobilization at the end of the war.
7,Soldiers riot over the possibility of losing their jobs during demobilization at the end of the war.
7,Soldiers riot over the possibility of losing their jobs during demobilization at the end of the war.
3,Supporters of the MDR riot after police killed one of their members.
3,Members of the Coalition for the Defense of the Republic protest demanding the release of members arrested for participating in previous protests.
1,Opposition members demonstrate against the violence between government and opposition supporters and accuse the government of preventing peace with FPR.
1,clashes between opposition and ruling party members.
1,Refugees hold 26 Red Cross workers hostage over changes in the location in food distribution centers.
3,"PSD members attack and kill CDR leader Martin Bucyana in revenge for the murder of Felicien Gatabazi, minister of public works and energy.  Clashes between the two parties occur due to the establishment of the interim government and ethnic viol"
7,RPF members attack and kill civilians expected of helping Hutu government forces during the genocide that occurred earlier in the year.
7,RPF soldiers clash with civilian Hutu refugees attempting to force them to leave camps.
7,Violence erupts in refugee camp.
1,Rwandans gather on the anniversary of the beginning of the genocide that began last year to demand justice and bury those killed in the massacre.
7,Rwandan army attack civilians.
7,Rwandan army attack civilians.
1,Demonstrators demand to know why genocide participants haven't been tried and where money has been spent already.
1,Genocide survivors protest claiming UN tribunal staff collaborate with the perpetrators of genocide and delaying trials.
7,A man accuses the government of torturing him for a month after he is arrested for supposedly plotting attacks against the state.
7,President Siad Barre's personal guard fires on a crowd in a soccer stadium when they jeer him.
7,Soldiers round up 48 men and boys and then rob and shoot them.  One survives.
7,Battles fought after armed attackers break into a warehouse and steal 4000 dollars worth of Somali shillings.  Battles start when soldiers try to confiscate weapons from opponents near the presidential palace.
1,protesters organized by gunmen loyal to USC warlord Mohammed Farah Aidid demonstrate against foreign guards protecting food shipments.
1,Hundreds of demonstrators organized by the RRA demonstrate against a peace plan proposed by Djibouti's president.
1,Demonstrators protest in favor of local Somaliland government and denounce Somalia's Transitional govt.  Occurs in Barao and several other towns.
1,Peace activists hold a rally to call on the warring factions to settle their disputes peacefully.
1,Hundreds of women protest against female circumcision.
1,Thousands of protesters organized by a group of Muslim scholars (the Ulema) march to condemn gifts handed out by Christian aid groups.
1,Demonstration after Friday prayers in which Islamic court figures condemn Somali warlords and the US.  They declare holy war on the Alliance for the Restoration of Peace and Counter Terrorism.
1,"Thousands of people rally, demanding an end to ongoing clashes and denouncing the Alliance."
1,Muslim protesters denounce the US on 6/2 and 6/6.
1,Supporters of the alliance warlords gather to protest against the Islamists.
1,Islamist protesters demonstrate against Ethiopian forces in Somalia.
1,Muslims spurred on by the SICS demonstrate after the collapse of peace talks.  They condemn the transitional govt. and Ethiopia.
1,Muslims spurred on by the SICS demonstrate after the collapse of peace talks.  They condemn the transitional govt. and Ethiopia.
1,Islamists protest against a US drafted UN Security Council resolution that would create a regional peacekeeping force.
1,Islamists protest against a US drafted UN Security Council resolution that would create a regional peacekeeping force.
1,A crowd of Shabab supporters protests Israel's raid of a mosque in Jerusalem.
1,Hundreds of women and children march to protest the destruction of the tombs of Somali clerics by Shabab militants.  They also protest the influx of foreign fighters.
1,Protesters demonstrate against the AU's plan to increase the number of peacekeepers they keep in the country.
1,Protesters demonstrate against the AU's plan to increase the number of peacekeepers they keep in the country.
7,Puntland's troops launched a raid on the pirate infested town of Bargal.
7,"Puntland forces in helicopter fired on house where Yuluh was believed to be, vehicles were destroyed in the attack."
7,US Navy Seals raid compound of Shebab
7,US drone hit Shebab leadership
7,The Kenyan military air strikes a Shebab training camp in Somalia.
7,A US drone strike kills a Shebab militant and his driver.
7,The SNA and AMISOM launch an operation to retake strongholds of Shebab militants.
7,The SNA and AMISOM launch an operation to retake strongholds of Shebab militants.
7,The SNA and AMISOM launch an operation to retake strongholds of Shebab militants.
7,The SNA and AMISOM launch an operation to retake strongholds of Shebab militants.
7,The SNA and AMISOM launch an operation to retake strongholds of Shebab militants.
7,The SNA and AMISOM launch an operation to retake strongholds of Shebab militants.
7,Warplanes strike Shebab strongholds.
7,AU forces kill two Shebab leaders and attack a main base.
7,Government and AU forces attack a former warlord's house as part of the disarmament campaign.
7,AU forces launch Operation Indian Ocean and retake a Shebab stronghold.
7,"The US military carries out an strike against Shebab militants, targeting the groups leader who is killed."
7,Somali and African forces retake a town from Shebab with little opposition.
7,Somali soldiers and African peacekeepers recapture a strategic port from Shebab without fighting.
7,Kenyan military claims an attack on a Shebab camp after they attack non-Muslims in Kenya.
7,The US military launches an air strike against a suspected Shebab leader.
1,Demonstrators protest the central government's decision to allow ethnic groups to secede.
1,Ethiopians march in celebration of the 100th anniversary of independence from Italy.
1,Women stage a protest over rising domestic violence against women and children.
1,Demonstrators protest a decision by the regional government to incorporate traditional farm land into town property.
1,Pro-government supporters rally to show support for the ruling party.
1,Fuel truck drivers march to demand changes in discriminatory transport rules.
7,Soldiers attack a rebel group.
7,Soldiers attack a rebel group.
1,"Tens of thousands take to the streets to celebrate the ruling party's 20th year in power, and the overthrow of Mengistu Haile Mariam."
1,"4,000 to 10,000 demonstrators protested to demand the immediate release of jailed journalists and activists and to call for the reform of policy issues for the high cost of living and to protest what they called the forced displacement of ethnic groups from farming projects"
7,Police raided Blue Party opposition headquarters and beat up some party members and seized banners and equipment that would have been used during a street protest the next day
1,Ethiopians protested outside the Saudi embassy over a crackdown against illegal immigrants in Saudi Arabia and police beat and arrested up to 100 of the protesters
1,"Former EPLF fighters protest government's decision to deny wages by seizing airports, banks and other businesses"
1,Students protest death of fellow student in Ethiopian detention camp
1,Students protest death of two students at Ethiopian detention camps
1,Students march through capital to rally citizen support of more AIDS education
7,"Up to dozens of people were detained after a protest by soldiers on January 21, including a regional governor and senior military officers"
7,40 govt. soldiers attack an area near a UN demobilization camp where UNITA rebels are being disarmed.  Ensuing fight kills 2 govt. soldiers.
1,UNITA soldiers to be integrated into the army protest when they find out that their assigned unit is far from their homes.
1,Demonstration against fuel prices.  Police disrupt with batons.
7,"Riot police attempt to remove residents from a Luanda shantytown, shoot two unarmed men."
1,"About 10,000 people march in a govt. organized protest against a UNITA attack on a refugee train, which killed more than 250 people."
7,Presidential guards drown a youth for singing an anti-govt. song.
7,Militias and symathizers attached to MPLA attack and intimidate UNITA supporters and officials in Jan. and Feb.  One UNITA supporter is killed by police.
7,Opposition supporters claim govt. forces torched an office of an opposition party.
1,"15,000 people protest ongoing war between Govt. and Cabinda seperatists.  Organized by local human rights organization."
7,"Clash between govt. forces and the Katangan Tigers, a former rebel group from the DRC.  The Tigers were engaged in illegal diamond mining."
7,"12 people die of suffocation in police custody and their bodies are thrown into a river.  Civilians protest this, and the police open fire, killing at least 5."
7,"12 people die of suffocation in police custody and their bodies are thrown into a river.  Civilians protest this, and the police open fire, killing at least 5."
1,Thousands of workers organized by three labor unions march to demand a minimum wage.
7,Gangs of Angolan soldiers rape as man as 100 Congolese women working in local diamond mines.
1,Citizens gather to protest the attacks on the Togo football team.
1,UNITA walks out of parliament in a protest over election uncertainty.
1,"Angola's ruling party rallies more than 20,000 people to march in favor of the government in response to an anonymous call on Facebook for dissidents to organize anti-government protests."
1,Police break up a protest of about 100 students and rappers rallying in the capital to demand that president Jose Eduardo Dos Santos resign.
7,About 100 members of a youth movement gathered to demand answers over the disappearance of two of its members last year and police stopped the protest before it began and arrested some of the protesters and confiscated equipment from journalists on the scene
1,The Angolan Revolutionary Movement organized a protest against the authoritarian regime of President Santos and three youths were bundled by police into pick-up trucks
1,"Demobilised soldiers block road, demanding higher wages and benefits"
1,"Veterans occupy political offices, electricity station, and create a road block demanding wages"
1,Demobilised soldiers hold demonstration demanding government assistance
1,"Soldiers walk out of demobilisation camps, protesting living conditions"
1,"Soldiers walk out of demobilisation camps, protesting living conditions"
1,Political demonstrations turn violent after police fire rubber bullets into crowd
1,Two opposing political parties violently clash
7,"Police crowd opposition supporters into small prison cells, asphyxiating 83"
1,Citizens protest increases in bus fares
7,South African soldiers cross into Mozambique and attack citizens.
3,Gangs kidnapped at least forteen weathly Muslims in Maputo for ransom. Police arrested about fifteen gangmembers and killed gang leader Orquilio Nhassengo in a raid.
7,Police arrested and beat political opposition
7,The Army attacked a rebel camp
7,Mozambique forces capture rebel stronghold
7,Government forces overrun Renamo military base
1,Renamo supporters protested the current government and were beaten back by police
1,Renamo supporters protested the current government and were beaten back by police
1,"In a protest organized by Amnesty International, 300 women march on parliament in opposition to a law allowing rapist to marry their victim."
3,A young man is shot in the feet after trying to stop ballot stuffing. Elsewhere riot police use teargas to disperse a large crowd watching the ballot counting.
3,A young man is shot in the feet after trying to stop ballot stuffing. Elsewhere riot police use teargas to disperse a large crowd watching the ballot counting.
1,Massive rally in Kabwe as pro-democracy activists demand end to one-party rule.
1,"Some 150,000 people attend a rally rejecting a constitutional proposal."
3,Hundreds of supporters of MMD riot against supporters of UNIP.
3,"In town of Mongu a petrol bomb blows up the house of a MMD coordinator.  In the Mufulira, six houses of MMD supporters are burned down.  Events occur in context of austerity measures and increases in the price of maize."
3,"In town of Mongu a petrol bomb blows up the house of a MMD coordinator.  In the Mufulira, six houses of MMD supporters are burned down.  Events occur in context of austerity measures and increases in the price of maize."
3,"Minor by-election related violence.  A policeman and a presiding officer are beaten up when they try to break up scuffles between rival supporters.  Elsewhere, four people are stabbed and a ruling party official is pelted with bricks."
3,"Hundreds of soldiers riot, seeking revenge for a comrade's death.  They kill two people, slaughter livestock and burn 2000 huts."
7,"Police crackdown on rally by opposition parties.  Several are wounded, including former president Kenneth Kaunda."
1,Protest against calls for the president to serve a third term.
1,"MMD supporters besiege the house of Zambia's first lady, protesting against her husband's bid for a third term."
1,Massive series of protests organized by opposition parties and students opposing the president's quest for a third term.  Students boycott classes.  Police use tear gas and a riot ensues on May 5.
7,Supporters of the president beat up several govt. ministers who oppose the president's bid for a third term.
3,Several violent clashes occur between rival party supporters around the time of a by-election.
3,Rival party supporters clash over a by-election.
3,Rival party supporters clash over a presidential election.
1,"Thousands of voters take to the streets of Lusaka, demanding the release of results from presidential election.  Later, they accuse the ruling party of stuffing ballot boxes.  Some protesters throw rocks at police.  Police use tear gas."
1,Pro govt. protest expressing approval of efforts against corruption.
3,Supporters of rival parties clash outside the Supreme Court.  Police use tear gas.  Issue of clash not specified.
1,"Hundreds of Zambians, organized by opposition leaders, march to protest govt. plant to privatize three state run companies."
1,Zambian opposition parties hold demonstrations to push for a new democratic constitution.  Police crush the demonstration.
1,Zambian opposition parties hold demonstrations to push for a new democratic constitution.  Police crush the demonstration.
1,Zambian opposition parties hold demonstrations to push for a new democratic constitution.  Police crush the demonstration.
1,Zambian opposition parties hold demonstrations to push for a new democratic constitution.  Police crush the demonstration.
1,Thousands take to streets to press for a new constitution.  Organized by civic society group and opposition parties.
3,Rival party supporters clash ahead of a by-election.
3,"Riot at a copper mine over company failure to pay raises.  Police fire at crowd, wounding 5."
1,Supporters of defeated presidential candidate Michael Sata attend a series of mass rallies protesting against the govt.
1,"ZCMT workers protest ouside the Chinese embassy to complain over poor wages, mistreatment, and closure of the plant."
3,Rival party supporters clash over a by-election.
1,Village elders organize about 100 protesters who block the president's entry into a village over alleged govt. meddling in traditional affairs.
1,"Rival protesters clash outside the trial of a newspaper editor.  The protest escalates into a scuffle, and the police disperse the riot."
1,"Opposition rally took place in Lusaka slum, police blocked supporters from going to rally. Event considered illegal according to police."
7,"Church group meet to protest food price rise, pro government gang attacked the church"
1,Football players hold a three-day sit-in to protest unpaid allowances.
1,Disabled workers stage a sit-in after the workshop they were employed in temporarily shut down.
1,Members of the Zimbabwe Unity Movement demonstrate demanding an independent commission be established to investigate disqualification of opposition candidates.
1,University students protest tuition increases.
7,Members of the ruling ZANU-PF party prevent opposition party ZUM members from holding a rally by setting fire to equipment.
7,Ruling party members clash with opposition supporters attempting to hold a rally.
1,Opposition party members protest electoral laws.
1,Civilians protest anti-gay remarks made by President Mugabe.
1,Human rights groups and students protest the shooting of two bystanders during a police chase.
1,Opposition United Parties protest the inauguration of President Mugabe to a sixth term claiming the elections were undemocratic.
1,"Trade unionist demonstrate against World Bank backed economic policies which have caused high taxation, price increases, unemployment and loss of subsidies."
